"Issue Id","Project","Tags","Summary","Reporter","Created","Updated","Resolved","Priority","Type","State","Assignee","Sprints","Ideal days","Story points","Estimation","Spent time","Description","Votes"
"TEX-7","TextVenturer","Analysis_Design,Project Management","klassen diagramme erstellen","Simon Vollmer","Tuesday, November 29, 2016 12:55:02 PM +03:00","Tuesday, November 29, 2016 1:36:34 PM +03:00","Tuesday, November 29, 2016 1:12:55 PM +03:00","Normal","Task","Done","andre1502","Elab#2","Not estimated","Not estimated","6h","3h50m","Hausaufgabe für Woche 6","0"
"TEX-5","TextVenturer","Deployment,Homework","crud demo erstellen","Simon Vollmer","Tuesday, November 29, 2016 12:52:54 PM +03:00","Tuesday, November 29, 2016 1:35:49 PM +03:00","Tuesday, November 29, 2016 1:12:47 PM +03:00","Normal","Task","Done","andre1502","Elab#2","Not estimated","Not estimated","1d","5h55m","fertig stellen einer crudsdemo die am 22.11.16 fertig sein soll","0"
"TEX-4","TextVenturer","Impementation","texteingabe realisieren","Simon Vollmer","Tuesday, November 29, 2016 12:51:09 PM +03:00","Tuesday, November 29, 2016 1:35:49 PM +03:00","Tuesday, November 29, 2016 1:12:44 PM +03:00","Normal","Task","Done","andre1502","Elab#2","Not estimated","Not estimated","5h","3h","texteingabe realisieren","0"
"TEX-11","TextVenturer","Analysis_Design,Story_Writing","Story Alleine im Wald","Simon Vollmer","Tuesday, November 29, 2016 1:03:12 PM +03:00","Tuesday, December 6, 2016 2:28:52 PM +03:00","","Normal","Task","Open","andre1502","Unscheduled","Not estimated","Not estimated","2w","2h","Story Alleine im Wald schreiben","0"
"TEX-10","TextVenturer","Analysis_Design,Story_Writing","Story Tag an der DHBW","Simon Vollmer","Tuesday, November 29, 2016 1:00:50 PM +03:00","Tuesday, December 6, 2016 2:35:14 PM +03:00","","Normal","Epic","In Progress","andre1502","Elab#1, Elab#2, Elab#3, Creation#1, creation#3","Not estimated","Not estimated","2w","6h10m","Story alleine an der DHBW schreiben.","0"
"TEX-22","TextVenturer","Homework","Blogpost für Woche 6","Dominik Vogel","Tuesday, December 6, 2016 2:02:09 PM +03:00","Tuesday, December 6, 2016 2:28:47 PM +03:00","Tuesday, December 6, 2016 2:28:47 PM +03:00","Normal","Task","Done","andre1502","Unscheduled","Not estimated","Not estimated","20m","?","Blogpost für Woche 6","0"
"TEX-21","TextVenturer","Homework","Blogpost für Woche 5","Dominik Vogel","Tuesday, December 6, 2016 2:01:40 PM +03:00","Tuesday, December 6, 2016 2:28:46 PM +03:00","Tuesday, December 6, 2016 2:28:46 PM +03:00","Normal","Task","Done","andre1502","Unscheduled","Not estimated","Not estimated","20m","?","Blogpost für Woche 5","0"
"TEX-20","TextVenturer","Project Management,Homework","Blogpost für Woche 4","Dominik Vogel","Tuesday, December 6, 2016 2:01:08 PM +03:00","Tuesday, December 6, 2016 2:28:42 PM +03:00","Tuesday, December 6, 2016 2:28:42 PM +03:00","Normal","Task","Done","andre1502","Unscheduled","Not estimated","Not estimated","20m","?","Blogpost für Woche 4","0"
"TEX-19","TextVenturer","Project Management,Homework","Blogpost für Woche 3","Dominik Vogel","Tuesday, December 6, 2016 1:55:57 PM +03:00","Tuesday, December 6, 2016 2:28:37 PM +03:00","Tuesday, December 6, 2016 2:28:37 PM +03:00","Normal","Task","Done","andre1502","Unscheduled","Not estimated","Not estimated","20m","?","Blogpost für Woche 3","0"
"TEX-18","TextVenturer","Business Modeling,Homework","Blogpost für Woche 2","Dominik Vogel","Tuesday, December 6, 2016 1:55:35 PM +03:00","Tuesday, December 6, 2016 2:28:35 PM +03:00","Tuesday, December 6, 2016 2:28:35 PM +03:00","Normal","Task","Done","andre1502","Unscheduled","Not estimated","Not estimated","20m","?","Blogpost für Woche 2","0"
